Year,week,Weekend,Top 10 Gross,%± LY,Overall Gross,%± LY.1,Releases,#1 Release
1997,1,Jan 3-5,"$70,213,938",+11.1%,"$89,180,504",+18.7%,24,Michael
1996,1,Jan 5-7,"$63,202,684",+28.7%,"$75,125,090",+26.6%,20,12 Monkeys
1995,1,Jan 6-8,"$49,115,738",-9.6%,"$59,361,541",-4.1%,20,Dumb and Dumber
1994,1,Jan 7-9,"$54,324,728",-27.2%,"$61,908,417",-26.1%,21,Mrs. Doubtfire
1993,1,Jan 1-3,"$74,620,966",+6.4%,"$83,742,024",+10.9%,20,Aladdin
1992,1,Jan 3-5,"$70,142,590",+14.6%,"$75,490,340",+10.1%,18,Hook
1991,1,Jan 4-6,"$61,207,542",+21.7%,"$68,549,435",+22.2%,20,Home Alone
1990,1,Jan 5-7,"$50,277,102",+13.5%,"$56,106,844",+17.6%,18,Born on the Fourth of July
1989,1,Jan 6-8,"$44,278,805",-21.2%,"$47,703,469",-27.1%,17,Rain Man
1988,1,Jan 1-3,"$56,209,187",+36.3%,"$65,422,329",+29.3%,19,3 Men and a Baby
1987,1,Jan 2-4,"$41,241,661",-0.2%,"$50,602,368",+7.5%,16,The Golden Child
1986,1,Jan 3-5,"$41,330,385",+9.7%,"$47,066,842",+0.5%,14,Rocky IV
1985,1,Jan 4-6,"$37,687,571",+24.9%,"$46,853,477",+27.5%,29,Beverly Hills Cop
1984,1,Jan 6-8,"$30,169,412",-23.9%,"$36,742,388",-13.5%,15,Terms of Endearment
1983,1,Jan 7-9,"$39,621,157","+44,566.2%","$42,453,304","+47,759%",13,Tootsie
1982,1,Jan 1-3,"$88,705",-,"$88,705",-,1,On Golden Pond
1978,1,Jan 6-8,"$2,671,060",-,"$2,671,060",-,1,Saturday Night Fever
2019,2,Jan 11-13,"$96,775,974",-25.2%,"$119,640,159",-24.8%,86,The Upside
2018,2,Jan 12-15MLK wknd,"$158,634,790",+7.4%,"$195,812,771",+5.7%,76,Jumanji: Welcome to the Jungle
2018,2,Jan 12-14,"$129,325,213",+8.6%,"$159,135,848",+6.5%,95,Jumanji: Welcome to the Jungle
2017,2,Jan 13-16MLK wknd,"$147,714,852",-,"$185,210,740",-,66,Hidden Figures
2017,2,Jan 13-15,"$119,057,524",-16.7%,"$149,365,311",-6.3%,80,Hidden Figures
2016,2,Jan 8-10,"$142,912,699",+36.5%,"$159,323,600",+26.2%,91,Star Wars: Episode VII - The Force Awakens
2015,2,Jan 9-11,"$104,708,370",-6.9%,"$126,281,581",-10.2%,87,Taken 3
2014,2,Jan 10-12,"$112,448,084",+0.2%,"$140,678,920",-,90,Lone Survivor
2013,2,Jan 11-13,"$112,186,149",+6.2%,"$140,670,134",+6.4%,95,Zero Dark Thirty
2012,2,Jan 13-16MLK wknd,"$128,967,569",-1.1%,"$162,923,701",+2.5%,74,Contraband
2012,2,Jan 13-15,"$105,673,270",-2%,"$132,235,551",+1.5%,103,Contraband
2011,2,Jan 14-16,"$107,824,706",-25.7%,"$130,305,168",-18.7%,106,The Green Hornet
2011,2,Jan 14-17MLK wknd,"$130,346,506",-,"$158,959,357",-,86,The Green Hornet
2010,2,Jan 8-10,"$145,045,666",+19.3%,"$160,275,182",+9.4%,86,Avatar
2009,2,Jan 9-11,"$121,541,116",+23%,"$146,505,600",+12.3%,92,Gran Torino
2008,2,Jan 11-13,"$98,786,197",+9.2%,"$130,426,078",+2%,98,The Bucket List
2007,2,Jan 12-15MLK wknd,"$110,241,732",-3.6%,"$156,137,695",+1.1%,102,Stomp the Yard
2007,2,Jan 12-14,"$90,498,028",-2.3%,"$127,921,516",+1.4%,96,Stomp the Yard
2006,2,Jan 13-16MLK wknd,"$114,402,747",-15.8%,"$154,432,915",-8.3%,102,Glory Road
2006,2,Jan 13-15,"$92,636,327",-17.3%,"$126,111,528",-8.7%,91,Glory Road
2005,2,Jan 14-16,"$112,075,179",+34.4%,"$138,088,011",+29.4%,84,Coach Carter
2005,2,Jan 14-17MLK wknd,"$135,910,983",-,"$168,489,287",-,92,Coach Carter
2004,2,Jan 9-11,"$83,360,349",+1.2%,"$106,710,072",-4.4%,113,The Lord of the Rings: The Return of the King
2003,2,Jan 10-12,"$82,340,691",-1.1%,"$111,631,661",+3.3%,115,Just Married
2002,2,Jan 11-13,"$83,274,097",+5%,"$108,067,364",+36.2%,59,The Lord of the Rings: The Fellowship of the Ring
2001,2,Jan 12-14,"$79,336,430",+2.9%,"$79,359,986",-6%,13,Save the Last Dance
2001,2,Jan 12-15MLK wknd,"$134,476,419",+45.6%,"$169,963,707",+33.1%,64,Save the Last Dance
2000,2,Jan 14-16,"$77,115,947",+8.4%,"$84,434,756",-5.1%,14,Next Friday
2000,2,Jan 14-17MLK wknd,"$92,328,614",-,"$127,735,048",-,62,Next Friday
1999,2,Jan 8-10,"$71,121,141",-13%,"$88,967,792",-6.2%,61,A Civil Action
1998,2,Jan 9-11,"$81,765,867",+31.2%,"$94,798,167",+20%,22,Titanic
1997,2,Jan 10-12,"$62,315,354",-2.7%,"$79,005,008",-8.9%,22,The Relic
1996,2,Jan 12-14,"$64,034,655","+1,121.4%","$86,694,715","+1,553.6%",22,12 Monkeys
1996,2,Jan 12-15MLK wknd,"$75,468,297",-4.7%,"$102,682,702",+5.2%,23,12 Monkeys
1995,2,Jan 13-16MLK wknd,"$79,158,945",+21.2%,"$97,573,191",+24.8%,20,Legends of the Fall
1995,2,Jan 13-15,"$5,242,650",+40.4%,"$5,242,650",+40.4%,2,Little Women
1994,2,Jan 14-16,"$3,733,339",-92.3%,"$3,733,339",-93.3%,3,Schindler's List
1994,2,Jan 14-17MLK wknd,"$65,313,589",-,"$78,211,652",-,25,Philadelphia
1993,2,Jan 8-10,"$48,495,587",-6%,"$55,917,159",-11.9%,19,A Few Good Men
1992,2,Jan 10-12,"$51,597,872",-4.1%,"$63,463,529",+0.2%,17,The Hand That Rocks the Cradle
1991,2,Jan 11-13,"$53,804,654",+21%,"$63,332,708",+12.1%,19,Home Alone
1990,2,Jan 12-15MLK wknd,"$3,249,365",-57.9%,"$3,249,365",-57.9%,1,Back to the Future Part II
1990,2,Jan 12-14,"$44,449,328",-7.6%,"$56,512,855",-2.1%,18,Born on the Fourth of July
1989,2,Jan 13-15,"$48,087,246",+35.5%,"$57,738,088",+47.4%,20,Rain Man
1989,2,Jan 13-16MLK wknd,"$7,717,455",-,"$7,717,455",-,1,Twins
1988,2,Jan 8-10,"$35,478,200",+23.7%,"$39,177,470",+5.8%,15,3 Men and a Baby
1987,2,Jan 9-11,"$28,679,665",-12.3%,"$37,012,993",-3%,18,The Golden Child
1986,2,Jan 10-12,"$32,697,064",+11.3%,"$38,174,785",-6.3%,15,Out of Africa
1985,2,Jan 11-13,"$29,369,163",+3.9%,"$40,749,164",+19.4%,30,Beverly Hills Cop
1984,2,Jan 13-15,"$28,273,334",-9.8%,"$34,128,262",+4.1%,16,Terms of Endearment
1983,2,Jan 14-16,"$31,333,450",+48.2%,"$32,787,544",+40.1%,12,Tootsie
1983,2,Jan 14-17MLK wknd,"$1,907,621",-,"$1,907,621",-,1,E.T. the Extra-Terrestrial
1982,2,Jan 8-10,"$21,136,048",-,"$23,396,334",-,14,Sharky's Machine
2019,3,Jan 18-21MLK wknd,"$134,433,589",-,"$162,367,073",-,69,Glass
2019,3,Jan 18-20,"$109,523,159",+5.1%,"$129,779,595",-4.3%,78,Glass
2018,3,Jan 19-21,"$104,176,178",-13.3%,"$135,628,208",-6.5%,103,Jumanji: Welcome to the Jungle
2017,3,Jan 20-22,"$120,214,041",-17.4%,"$145,007,859",-12.6%,89,Split
2016,3,Jan 15-17,"$145,502,232",-18.7%,"$166,004,623",-18.3%,86,Ride Along 2
2016,3,Jan 15-18MLK wknd,"$175,297,289",-20.6%,"$200,759,295",-20%,57,Ride Along 2
2015,3,Jan 16-19MLK wknd,"$220,660,699",+24.4%,"$250,809,036",+17.6%,71,American Sniper
2015,3,Jan 16-18,"$178,963,570",+21.9%,"$203,241,390",+15.2%,87,American Sniper
2014,3,Jan 17-20MLK wknd,"$177,312,805",+41.1%,"$213,241,808",+29%,68,Ride Along
2014,3,Jan 17-19,"$146,864,924",+36.3%,"$176,376,093",+26.2%,88,Ride Along
2013,3,Jan 18-21MLK wknd,"$125,704,597",-,"$165,335,690",-,68,Mama
2013,3,Jan 18-20,"$107,738,398",+4.5%,"$139,772,817",+4.7%,92,Mama
2012,3,Jan 20-22,"$103,050,329",+23.5%,"$133,441,542",+29.9%,107,Underworld Awakening
2011,3,Jan 21-23,"$83,445,232",-43.9%,"$102,730,950",-39.6%,105,No Strings Attached
2010,3,Jan 15-18MLK wknd,"$183,162,436",-0.8%,"$209,509,035",-9.4%,83,Avatar
2010,3,Jan 15-17,"$148,859,116",-3.6%,"$170,071,252",-11.8%,96,Avatar
2009,3,Jan 16-19MLK wknd,"$184,673,846",+21.9%,"$231,208,273",+23.6%,85,Paul Blart: Mall Cop
2009,3,Jan 16-18,"$154,456,350",+22%,"$192,904,086",+24.7%,90,Paul Blart: Mall Cop
2008,3,Jan 18-20,"$126,624,750",+88.8%,"$154,669,517",+54.6%,101,Cloverfield
2008,3,Jan 18-21MLK wknd,"$151,470,763",-,"$187,094,009",-,95,Cloverfield
2007,3,Jan 19-21,"$67,053,906",-23.6%,"$100,056,605",-17.8%,105,Stomp the Yard
2006,3,Jan 20-22,"$87,776,641",+11.2%,"$121,699,037",+23.6%,107,Underworld: Evolution
2005,3,Jan 21-23,"$78,920,270",-12.3%,"$98,473,742",-14%,110,Are We There Yet?
2004,3,Jan 16-19MLK wknd,"$107,223,556",-4.7%,"$138,629,157",-8.4%,117,Along Came Polly
2004,3,Jan 16-18,"$90,004,004",-4.1%,"$114,544,298",-7.9%,80,Along Came Polly
2003,3,Jan 17-20MLK wknd,"$112,538,187",-8.2%,"$151,271,592",-,129,Kangaroo Jack
2003,3,Jan 17-19,"$93,826,020",-5.9%,"$124,366,588",+2.5%,86,Kangaroo Jack
2002,3,Jan 18-20,"$99,718,554",+23.4%,"$121,337,269",+7.7%,33,Black Hawk Down
2002,3,Jan 18-21MLK wknd,"$122,540,384",-,"$151,166,550",-,60,Black Hawk Down
2001,3,Jan 19-21,"$80,780,055",+52.1%,"$112,647,941",+37.5%,64,Save the Last Dance
2000,3,Jan 21-23,"$53,118,997",-1.7%,"$81,906,737",+51.6%,62,Next Friday
1999,3,Jan 15-18MLK wknd,"$92,568,087",-13.9%,"$125,265,914",+1.3%,60,Varsity Blues
1999,3,Jan 15-17,"$54,023,156",+17.8%,"$54,023,156",+17.8%,8,Varsity Blues
1998,3,Jan 16-18,"$45,851,383",+225.1%,"$45,851,383",+225.1%,6,Titanic
1998,3,Jan 16-19MLK wknd,"$107,524,749",+47.5%,"$123,643,859",+32.1%,22,Titanic
1997,3,Jan 17-19,"$14,104,613",-74.2%,"$14,104,613",-81.4%,2,Evita
1997,3,Jan 17-20MLK wknd,"$72,905,249",-,"$93,618,559",-,21,Beverly Hills Ninja
1996,3,Jan 19-21,"$54,757,505",+18.9%,"$75,992,156",+28.4%,22,From Dusk Till Dawn
1995,3,Jan 20-22,"$46,034,285",-11.7%,"$59,205,684",-5.3%,20,Legends of the Fall
1994,3,Jan 21-23,"$52,151,876",+280.1%,"$62,519,378",+355.7%,20,Philadelphia
1993,3,Jan 15-18MLK wknd,"$65,573,332",-2.7%,"$75,051,860",-8.1%,22,Aladdin
1993,3,Jan 15-17,"$13,720,201",+139.8%,"$13,720,201",+139.8%,5,A Few Good Men
1992,3,Jan 17-20MLK wknd,"$67,367,862",+15.7%,"$81,674,103",+6.1%,19,The Hand That Rocks the Cradle
1992,3,Jan 17-19,"$5,722,135",-4.1%,"$5,722,135",-4.1%,1,Hook
1991,3,Jan 18-21MLK wknd,"$58,218,715",-,"$76,998,122",-,25,Home Alone
1991,3,Jan 18-20,"$5,969,190",-83.8%,"$5,969,190",-87.7%,1,Kindergarten Cop
1990,3,Jan 19-21,"$36,762,815",+9.5%,"$48,530,271",+24.8%,22,Born on the Fourth of July
1989,3,Jan 20-22,"$33,563,148",-29.9%,"$38,886,459",-31.4%,18,Rain Man
1988,3,Jan 15-17,"$47,863,005",+42.9%,"$56,708,190",+36.2%,17,"Good Morning, Vietnam"
1987,3,Jan 16-18,"$33,482,934",-13.4%,"$41,638,333",-6.4%,17,Critical Condition
1986,3,Jan 17-19,"$38,660,189",+92.4%,"$44,469,827",+49.2%,18,Iron Eagle
1986,3,Jan 17-20MLK wknd,"$1,455,600",-,"$1,455,600",-,1,Back to the Future
1985,3,Jan 18-20,"$20,097,631",-2.8%,"$29,806,351",+16.6%,32,Beverly Hills Cop
1984,3,Jan 20-22,"$20,685,611",-26.1%,"$25,562,914",-20.3%,18,Terms of Endearment
1983,3,Jan 21-23,"$28,002,601",+45.9%,"$32,090,131",+45.2%,16,Tootsie
1982,3,Jan 15-17,"$19,190,484",-,"$22,104,212",-,17,Absence of Malice
1980,3,Jan 18-20,"$386,099",-,"$386,099",-,2,Windows
2019,4,Jan 25-27,"$73,819,238",-28%,"$103,503,701",-27.6%,82,Glass
2018,4,Jan 26-28,"$102,483,376",-8.2%,"$142,985,855",+0.7%,104,Maze Runner: The Death Cure
2017,4,Jan 27-29,"$111,650,133",+16.6%,"$141,980,332",+25%,85,Split
2016,4,Jan 22-24,"$95,736,903",-29.9%,"$113,596,503",-28.8%,87,The Revenant
2015,4,Jan 23-25,"$136,480,820",+46%,"$159,469,503",+35%,93,American Sniper
2014,4,Jan 24-26,"$93,470,822",+15.1%,"$118,158,602",+5.3%,97,Ride Along
2013,4,Jan 25-27,"$81,203,152",-11.1%,"$112,228,923",-11.2%,91,Hansel & Gretel: Witch Hunters
2012,4,Jan 27-29,"$91,306,608",+4.6%,"$126,328,423",+15.7%,111,The Grey
2011,4,Jan 28-30,"$87,300,754",-27.3%,"$109,215,038",-24.4%,104,The Rite
2010,4,Jan 22-24,"$120,045,516",+1.2%,"$144,384,498",-9.9%,93,Avatar
2009,4,Jan 23-25,"$118,605,040",+8.6%,"$160,294,864",+11.2%,91,Paul Blart: Mall Cop
2008,4,Jan 25-27,"$109,183,558",+32.7%,"$144,150,492",+21.4%,108,Meet the Spartans
2007,4,Jan 26-28,"$82,251,314",-12%,"$118,760,415",-6%,106,Epic Movie
2006,4,Jan 27-29,"$93,425,268",-4.1%,"$126,350,780",+2.1%,113,Big Momma's House 2
2005,4,Jan 28-30,"$97,441,087",+25%,"$123,757,135",+22.3%,111,Hide and Seek
2004,4,Jan 23-25,"$77,928,970",+4.9%,"$101,223,700",-0.1%,117,The Butterfly Effect
2003,4,Jan 24-26,"$74,311,778",-28.5%,"$101,354,409",-22.4%,127,Darkness Falls
2002,4,Jan 25-27,"$103,940,396",+55.5%,"$130,666,944",+34.9%,62,Black Hawk Down
2001,4,Jan 26-28,"$66,851,732",+59.1%,"$96,828,931",+46.9%,64,The Wedding Planner
2000,4,Jan 28-30,"$42,010,952",-26.5%,"$65,928,374",-22.3%,66,Eye of the Beholder
1999,4,Jan 22-24,"$57,142,409",-22.5%,"$84,877,422",+5.8%,62,Varsity Blues
1998,4,Jan 23-25,"$73,736,097",+63.6%,"$80,230,571",+30.9%,20,Titanic
1997,4,Jan 24-26,"$45,079,346",+9.9%,"$61,284,905",+3.6%,26,Jerry Maguire
1996,4,Jan 26-28,"$41,028,145",+16.9%,"$59,130,016",+29.6%,25,Mr. Holland's Opus
1995,4,Jan 27-29,"$35,097,466",-17.3%,"$45,623,400",-12.4%,21,Legends of the Fall
1994,4,Jan 28-30,"$42,436,006",-4.9%,"$52,069,501",-2.9%,22,Mrs. Doubtfire
1993,4,Jan 22-24,"$44,634,723",+11.7%,"$53,601,539",+13.9%,19,Aladdin
1992,4,Jan 24-26,"$39,966,168",+0.8%,"$47,060,556",-9%,15,The Hand That Rocks the Cradle
1991,4,Jan 25-27,"$39,660,357",+23.9%,"$51,705,553",+39.2%,20,Home Alone
1990,4,Jan 26-28,"$32,011,711",-16.6%,"$37,147,190",-9.6%,15,Driving Miss Daisy
1989,4,Jan 27-29,"$38,401,690",+3.5%,"$41,090,195",-9.4%,15,Rain Man
1988,4,Jan 22-24,"$37,119,274",+64.7%,"$45,333,331",+81.5%,22,"Good Morning, Vietnam"
1987,4,Jan 23-25,"$22,541,912",-15.4%,"$24,977,928",-20%,13,Critical Condition
1986,4,Jan 24-26,"$26,632,176",+15.2%,"$31,230,847",-3.1%,14,The Color Purple
1985,4,Jan 25-27,"$23,118,481",+6.6%,"$32,236,005",+26.4%,22,Beverly Hills Cop
1984,4,Jan 27-29,"$21,693,487",-11.9%,"$25,507,860",-2.6%,17,Silkwood
1983,4,Jan 28-30,"$24,635,213",+46.7%,"$26,197,770",+43.7%,12,Tootsie
1982,4,Jan 22-24,"$16,791,367",-,"$18,229,952",-,14,On Golden Pond
1980,4,Jan 25-27,"$1,668,965",-,"$1,668,965",-,1,Guyana: Cult of the Damned
2019,5,Feb 1-3,"$52,087,190",-20.7%,"$73,462,968",-22.7%,85,Glass
2018,5,Feb 2-4,"$65,718,354",-13.1%,"$94,988,230",-4.3%,102,Jumanji: Welcome to the Jungle
2017,5,Feb 3-5,"$75,662,315",-36.1%,"$99,239,960",-28.7%,97,Split
2016,5,Jan 29-31,"$118,353,833",+47.8%,"$139,252,676",+36.1%,99,Kung Fu Panda 3
2015,5,Jan 30-Feb 1,"$80,089,127",+21.6%,"$102,289,935",+18.8%,95,American Sniper
2014,5,Jan 31-Feb 2,"$65,887,288",+1.4%,"$86,093,764",-2.9%,95,Ride Along
2013,5,Feb 1-3,"$64,959,191",-26.3%,"$88,701,777",-23.4%,98,Warm Bodies
2012,5,Feb 3-5,"$88,088,338",+28.9%,"$115,729,538",+32.6%,105,Chronicle
2011,5,Feb 4-6,"$68,315,090",-34.3%,"$87,257,927",-30.4%,114,The Roommate
2010,5,Jan 29-31,"$103,970,747",+8.4%,"$125,460,594",-1.1%,93,Avatar
2009,5,Jan 30-Feb 1,"$95,933,299",+1.1%,"$126,798,123",-1.5%,93,Taken
2008,5,Feb 1-3,"$94,843,468",+43.3%,"$128,681,821",+39.1%,107,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert
2007,5,Feb 2-4,"$66,162,832",-13%,"$92,529,640",-12.8%,119,The Messengers
2006,5,Feb 3-5,"$76,084,313",-6.9%,"$106,063,593",+4.2%,120,When a Stranger Calls
2005,5,Feb 4-6,"$81,760,868",+21.3%,"$101,779,376",+4.8%,118,Boogeyman
2004,5,Jan 30-Feb 1,"$67,426,484",-21.1%,"$97,110,577",-17%,123,You Got Served
2003,5,Jan 31-Feb 2,"$85,451,156",+16.4%,"$117,024,874",+17.9%,122,The Recruit
2002,5,Feb 1-3,"$73,420,948",+12.8%,"$99,230,109",-1.4%,60,Black Hawk Down
2001,5,Feb 2-4,"$65,065,730",-4.2%,"$100,594,670",+10.6%,61,The Wedding Planner
2000,5,Feb 4-6,"$67,949,978",+30.6%,"$90,957,696",+24.8%,60,Scream 3
1999,5,Jan 29-31,"$52,024,366",-33.7%,"$72,867,617",-16.3%,61,She's All That
1998,5,Jan 30-Feb 1,"$78,428,611",+11.7%,"$87,044,975",-2.8%,19,Titanic
1997,5,Jan 31-Feb 2,"$70,185,950",+44.8%,"$89,532,648",+46.9%,28,Star Wars: Episode IV - A New Hope1997 Special Edition
1996,5,Feb 2-4,"$48,469,508",+46.7%,"$60,966,016",+54.3%,22,Black Sheep
1995,5,Feb 3-5,"$33,050,746",-37.8%,"$39,517,743",-41.1%,18,Legends of the Fall
1994,5,Feb 4-6,"$53,164,721",+41.3%,"$67,050,549",+44.9%,26,Ace Ventura: Pet Detective
1993,5,Jan 29-31,"$37,618,019",-13.6%,"$46,288,543",-5.4%,20,Aladdin
1992,5,Jan 31-Feb 2,"$43,524,788",+4.4%,"$48,921,874",-15%,15,The Hand That Rocks the Cradle
1991,5,Feb 1-3,"$41,679,006",+29.5%,"$57,580,795",+40%,24,Home Alone
1990,5,Feb 2-4,"$32,182,193",-10.1%,"$41,138,952",+3.9%,18,Driving Miss Daisy
1989,5,Feb 3-5,"$35,780,058",+23.2%,"$39,611,036",+13.7%,14,Three Fugitives
1988,5,Jan 29-31,"$29,033,920",-8.7%,"$34,824,851",-0.7%,17,"Good Morning, Vietnam"
1987,5,Jan 30-Feb 1,"$31,817,823",-2.6%,"$35,056,841",-2.6%,13,Platoon
1986,5,Jan 31-Feb 2,"$32,661,751",+45.9%,"$36,002,476",+44.8%,15,Down and Out in Beverly Hills
1985,5,Feb 1-3,"$22,390,237",+16.7%,"$24,870,956",+0.3%,13,Beverly Hills Cop
1984,5,Feb 3-5,"$19,180,138",-20.8%,"$24,800,304",-8.7%,16,Terms of Endearment
1983,5,Feb 4-6,"$24,206,133",+32.2%,"$27,158,538",+29.1%,13,Tootsie
1982,5,Jan 29-31,"$18,316,681",+328%,"$21,044,582",+391.8%,16,On Golden Pond
1981,5,Jan 30-Feb 1,"$4,279,264",+20.2%,"$4,279,264",+20.2%,1,The Incredible Shrinking Woman
1980,5,Feb 1-3,"$3,559,930",+808.3%,"$3,559,930",+808.3%,1,American Gigolo
1979,5,Feb 2-4,"$391,942",-52%,"$391,942",-52%,1,The Great Train Robbery
1978,5,Feb 3-5,"$817,290",-,"$817,290",-,1,Star Wars: Episode IV - A New Hope
2019,6,Feb 8-10,"$95,027,517",-16.5%,"$115,811,896",-18.1%,93,The Lego Movie 2: The Second Part
2018,6,Feb 9-11,"$113,834,248",-33.5%,"$141,457,633",-25%,105,Fifty Shades Freed
2017,6,Feb 10-12,"$171,094,497",+126.9%,"$188,591,354",+97.5%,87,The Lego Batman Movie
2016,6,Feb 5-7,"$75,395,999",-43.2%,"$95,508,876",-37.2%,100,Kung Fu Panda 3
2015,6,Feb 6-8,"$132,753,774",-,"$152,017,118",-0.6%,95,The SpongeBob Movie: Sponge Out of Water
2014,6,Feb 7-9,"$132,710,403",+61.1%,"$152,984,502",+46.8%,109,The Lego Movie
2013,6,Feb 8-10,"$82,382,252",-51%,"$104,216,107",-45.7%,101,Identity Thief
2012,6,Feb 10-12,"$168,289,222",+31.1%,"$191,893,008",+28.4%,111,The Vow
2011,6,Feb 11-13,"$128,358,223",+35.4%,"$149,414,721",+31.1%,113,Just Go with It
2010,6,Feb 5-7,"$94,786,281",-23.6%,"$113,987,051",-26.3%,100,Dear John
2009,6,Feb 6-8,"$124,041,046",+48.6%,"$154,595,414",+37.7%,93,He's Just Not That Into You
2008,6,Feb 8-10,"$83,480,396",-4.3%,"$112,262,045",-0.2%,107,Fool's Gold
2007,6,Feb 9-11,"$87,192,120",-11.9%,"$112,489,027",-8%,113,Norbit
2006,6,Feb 10-12,"$98,949,725",+0.6%,"$122,225,918",+1.7%,120,The Pink Panther
2005,6,Feb 11-13,"$98,317,419",+15.5%,"$120,184,921",+6.8%,120,Hitch
2004,6,Feb 6-8,"$85,154,544",-12%,"$112,513,674",-7.8%,121,Barbershop 2: Back in Business
2003,6,Feb 7-9,"$96,780,739",+23.1%,"$122,002,627",+17.9%,120,How to Lose a Guy in 10 Days
2002,6,Feb 8-10,"$78,600,551",-23.6%,"$103,464,451",-18.8%,62,Collateral Damage
2001,6,Feb 9-11,"$102,923,335",+43.2%,"$127,345,704",+37.7%,63,Hannibal
2000,6,Feb 11-13,"$71,894,913",+23.5%,"$92,487,483",+14.8%,60,Scream 3
1999,6,Feb 5-7,"$58,206,047",-13.5%,"$80,581,377",+9.3%,62,Payback
1998,6,Feb 6-8,"$67,270,197",+2.4%,"$73,753,689",-8.6%,20,Titanic
1997,6,Feb 7-9,"$65,669,096",+32.4%,"$80,670,394",+40.2%,28,Star Wars: Episode IV - A New Hope1997 Special Edition
1996,6,Feb 9-11,"$49,595,131",+49.6%,"$57,550,441",+50.4%,21,Broken Arrow
1995,6,Feb 10-12,"$33,144,426",-31.4%,"$38,253,421",-35.6%,18,Billy Madison
1994,6,Feb 11-13,"$48,342,371",-1.6%,"$59,365,159",+6.2%,22,Ace Ventura: Pet Detective
1993,6,Feb 5-7,"$49,146,523",+13.8%,"$55,893,905",+17.7%,20,Loaded Weapon 1
1992,6,Feb 7-9,"$43,177,623",-10.3%,"$47,506,537",-15.3%,14,Medicine Man
1991,6,Feb 8-10,"$48,158,676",+43.6%,"$56,117,379",+27.5%,20,Sleeping with the Enemy
1990,6,Feb 9-11,"$33,541,808",-7.1%,"$44,027,568",+5.3%,22,Hard to Kill
1989,6,Feb 10-12,"$36,087,027",+5.6%,"$41,829,452",+15.4%,14,The Fly II
1988,6,Feb 5-7,"$34,167,559",+7.1%,"$36,255,571",+0.2%,14,"Good Morning, Vietnam"
1987,6,Feb 6-8,"$31,910,449",+1.7%,"$36,173,540",+6.2%,16,Platoon
1986,6,Feb 7-9,"$31,379,924",+12.8%,"$34,068,324",+10.3%,15,Down and Out in Beverly Hills
1985,6,Feb 8-10,"$27,809,171",+65.8%,"$30,884,974",+44%,14,Beverly Hills Cop
1984,6,Feb 10-12,"$16,773,554",-8.2%,"$21,450,368",+5.2%,18,Unfaithfully Yours
1983,6,Feb 11-13,"$18,268,048",+3.9%,"$20,383,746",+5.7%,13,Tootsie
1982,6,Feb 5-7,"$17,581,427",-,"$19,289,473",-,12,On Golden Pond
