Year,week,Weekend,Top 10 Gross,%± LY,Overall Gross,%± LY.1,Releases,#1 Release
2019,7,Feb 15-18Presidents' Day wknd,"$126,415,385 ",-60.90%,"$152,447,001 ",-55.90%,86,Alita: Battle Angel
2019,7,Feb 15-17,"$105,197,571 ",-60.70%,"$126,265,201 ",-56%,102,Alita: Battle Angel
2018,7,Feb 16-19Presidents' Day wknd,"$323,004,490 ",107.30%,"$346,075,601 ",90.50%,91,Black Panther
2018,7,Feb 16-18,"$267,360,455 ",107.50%,"$286,751,803 ",90.40%,102,Black Panther
2017,7,Feb 17-19,"$128,860,229 ",-40.30%,"$150,631,026 ",-37%,80,The Lego Batman Movie
2017,7,Feb 17-20Presidents' Day wknd,"$155,796,460 ",-37.90%,"$181,705,870 ",-34.80%,68,The Lego Batman Movie
2016,7,Feb 12-15Presidents' Day wknd,"$250,977,099 ",11%,"$278,484,327 ",12.70%,87,Deadpool
2016,7,Feb 12-14,"$215,810,637 ",10%,"$239,154,233 ",11.80%,103,Deadpool
2015,7,Feb 13-16Presidents' Day wknd,"$226,114,046 ",24.10%,"$247,208,470 ",18.40%,75,Fifty Shades of Grey
2015,7,Feb 13-15,"$196,187,392 ",26%,"$213,956,193 ",20.10%,88,Fifty Shades of Grey
2014,7,Feb 14-17Presidents' Day wknd,"$182,141,128 ",26.80%,"$208,762,307 ",24%,84,The Lego Movie
2014,7,Feb 14-16,"$155,759,468 ",28.40%,"$178,203,826 ",26.10%,102,The Lego Movie
2013,7,Feb 15-18Presidents' Day wknd,"$143,655,294 ",-12.90%,"$168,341,536 ",-13%,86,A Good Day to Die Hard
2013,7,Feb 15-17,"$121,272,933 ",-12.10%,"$141,278,049 ",-12.20%,99,A Good Day to Die Hard
2012,7,Feb 17-20Presidents' Day wknd,"$164,876,415 ",9.40%,"$193,509,301 ",11.40%,102,Safe House
2012,7,Feb 17-19,"$137,926,714 ",9.70%,"$160,944,778 ",11.40%,118,Safe House
2011,7,Feb 18-20,"$125,712,044 ",-31.30%,"$144,525,447 ",-29.40%,107,Unknown
2011,7,Feb 18-21Presidents' Day wknd,"$150,746,871 ",-29.40%,"$173,631,940 ",-27.50%,100,Unknown
2010,7,Feb 12-15Presidents' Day wknd,"$213,524,058 ",21.20%,"$239,380,299 ",8.80%,87,Valentine's Day
2010,7,Feb 12-14,"$182,998,695 ",20.50%,"$204,746,196 ",8.40%,95,Valentine's Day
2009,7,Feb 13-16Presidents' Day wknd,"$176,130,106 ",31.70%,"$220,039,425 ",31.40%,91,Friday the 13th
2009,7,Feb 13-15,"$151,899,971 ",36.20%,"$188,927,999 ",35.90%,93,Friday the 13th
2008,7,Feb 15-17,"$111,505,912 ",-19.20%,"$139,052,789 ",-12.10%,99,Jumper
2008,7,Feb 15-18Presidents' Day wknd,"$133,761,458 ",-18%,"$167,469,892 ",-11.20%,100,Jumper
2019,8,Feb 22-24,"$110,669,509 ",-37.50%,"$127,999,939 ",-34.60%,88,How to Train Your Dragon: The Hidden World
2018,8,Feb 23-25,"$177,068,935 ",70.50%,"$195,707,999 ",57.70%,110,Black Panther
2017,8,Feb 24-26,"$103,860,378 ",-14.20%,"$124,126,169 ",-12.50%,87,Get Out
2016,8,Feb 19-21,"$121,119,706 ",16.70%,"$141,851,056 ",19.40%,106,Deadpool
2015,8,Feb 20-22,"$103,802,091 ",10.10%,"$118,837,843 ",6.20%,90,Fifty Shades of Grey
2014,8,Feb 21-23,"$94,308,705 ",12%,"$111,894,114 ",8.10%,106,The Lego Movie
2013,8,Feb 22-24,"$84,217,867 ",-21.60%,"$103,534,297 ",-22.70%,94,Identity Thief
2012,8,Feb 24-26,"$107,371,847 ",16%,"$133,892,090 ",21.90%,115,Act of Valor
2011,8,Feb 25-27,"$92,540,158 ",-21.90%,"$109,830,377 ",-18%,108,Hall Pass
2010,8,Feb 19-21,"$118,472,680 ",5.60%,"$133,902,273 ",-6%,108,Shutter Island
2009,8,Feb 20-22,"$112,141,559 ",31.70%,"$142,472,042 ",29%,95,Madea Goes to Jail
2008,8,Feb 22-24,"$85,162,089 ",-12.10%,"$110,410,094 ",-6.40%,114,Vantage Point
2019,9,Mar 1-3,"$94,364,496 ",-29.70%,"$115,975,923 ",-22.20%,114,How to Train Your Dragon: The Hidden World
2018,9,Mar 2-4,"$134,280,505 ",-20.10%,"$149,122,522 ",-21.40%,115,Black Panther
2017,9,Mar 3-5,"$168,014,995 ",84.10%,"$189,697,727 ",68.80%,100,Logan
2016,9,Feb 26-28,"$91,278,176 ",2.10%,"$112,386,016 ",5.20%,91,Deadpool
2015,9,Feb 27-Mar 1,"$89,378,196 ",-14.10%,"$106,785,872 ",-13.70%,98,Focus
2014,9,Feb 28-Mar 2,"$104,089,480 ",18.50%,"$123,702,145 ",12.80%,113,Non-Stop
2013,9,Mar 1-3,"$87,821,690 ",-39.80%,"$109,621,873 ",-34.90%,106,Jack the Giant Slayer
2012,9,Mar 2-4,"$145,788,328 ",27.40%,"$168,466,571 ",25.80%,118,The Lorax
2011,9,Mar 4-6,"$114,398,546 ",9.80%,"$133,918,873 ",12.30%,107,Rango
2010,9,Feb 26-28,"$104,201,694 ",29.40%,"$119,202,708 ",6.90%,107,Shutter Island
2009,9,Feb 27-Mar 1,"$80,508,972 ",9%,"$111,557,492 ",14.20%,99,Madea Goes to Jail
2008,9,Feb 29-Mar 2,"$73,841,003 ",-28.70%,"$97,723,152 ",-21.60%,118,Semi-Pro
2019,10,Mar 8-10,"$198,063,125 ",60.90%,"$210,564,349 ",50.70%,107,Captain Marvel
2018,10,Mar 9-11,"$123,134,923 ",-17.60%,"$139,696,317 ",-14.80%,112,Black Panther
2017,10,Mar 10-12,"$149,362,845 ",4.80%,"$163,997,836 ",1.50%,107,Kong: Skull Island
2016,10,Mar 4-6,"$142,568,989 ",97.30%,"$161,499,059 ",80.60%,99,Zootopia
2015,10,Mar 6-8,"$72,251,925 ",-43.30%,"$89,415,791 ",-37.80%,94,Chappie
2014,10,Mar 7-9,"$127,539,955 ",2.40%,"$143,856,540 ",2.30%,110,300: Rise of an Empire
2013,10,Mar 8-10,"$124,576,195 ",7.40%,"$140,687,760 ",2.80%,112,Oz the Great and Powerful
2012,10,Mar 9-11,"$116,009,145 ",3.60%,"$136,877,195 ",5.80%,127,The Lorax
2011,10,Mar 11-13,"$111,935,077 ",-38.70%,"$129,391,313 ",-34.30%,118,Battle Los Angeles
2010,10,Mar 5-7,"$182,536,400 ",86.80%,"$196,996,205 ",68.60%,107,Alice in Wonderland
2009,10,Mar 6-8,"$97,720,570 ",12.40%,"$116,828,485 ",8.80%,110,Watchmen
2008,10,Mar 7-9,"$86,928,662 ",-36.10%,"$107,381,602 ",-29.70%,119,"10,000 BC"
2019,11,Mar 15-17,"$126,418,468 ",6.40%,"$139,804,590 ",5.20%,122,Captain Marvel
2018,11,Mar 16-18,"$118,810,762 ",-52.90%,"$132,848,455 ",-49.10%,114,Black Panther
2017,11,Mar 17-19,"$252,225,276 ",113.40%,"$260,823,456 ",92.80%,103,Beauty and the Beast
2016,11,Mar 11-13,"$118,186,835 ",2.30%,"$135,301,106 ",2.80%,111,Zootopia
2015,11,Mar 13-15,"$115,580,190 ",17.20%,"$131,677,520 ",15.50%,94,Cinderella
2014,11,Mar 14-16,"$98,624,322 ",6.30%,"$113,961,674 ",6.10%,108,Mr. Peabody & Sherman
2013,11,Mar 15-17,"$92,776,114 ",-0.90%,"$107,411,683 ",-3.20%,108,Oz the Great and Powerful
2012,11,Mar 16-18,"$93,582,069 ",-5.30%,"$110,983,561 ",-3.50%,116,21 Jump Street
2011,11,Mar 18-20,"$98,816,142 ",-23.80%,"$114,962,242 ",-22.10%,121,Limitless
2010,11,Mar 12-14,"$129,609,144 ",53.90%,"$147,526,258 ",46.50%,106,Alice in Wonderland
2009,11,Mar 13-15,"$84,204,182 ",-17.30%,"$100,713,824 ",-16.50%,102,Race to Witch Mountain
2008,11,Mar 14-16,"$101,862,262 ",1.10%,"$120,687,394 ",2.60%,124,Horton Hears a Who!
2019,12,Mar 22-24,"$139,284,316 ",28.20%,"$148,803,456 ",14.10%,117,Us
2018,12,Mar 23-25,"$108,669,222 ",-43.60%,"$130,423,221 ",-35.50%,114,Pacific Rim: Uprising
2017,12,Mar 24-26,"$192,647,503 ",66.40%,"$202,066,084 ",53.90%,100,Beauty and the Beast
2016,12,Mar 18-20,"$115,774,645 ",-1.30%,"$131,307,311 ",0.30%,121,Zootopia
2015,12,Mar 20-22,"$117,323,618 ",-9.50%,"$130,961,022 ",-7.50%,97,Insurgent
2014,12,Mar 21-23,"$129,583,231 ",1.80%,"$141,511,040 ",1.90%,111,Divergent
2013,12,Mar 22-24,"$127,241,394 ",-36.90%,"$138,891,569 ",-35.20%,121,The Croods
2012,12,Mar 23-25,"$201,664,110 ",92.60%,"$214,253,387 ",76.40%,115,The Hunger Games
2011,12,Mar 25-27,"$104,688,038 ",-5.50%,"$121,453,235 ",-4.40%,126,Diary of a Wimpy Kid: Rodrick Rules
2010,12,Mar 19-21,"$110,799,129 ",18.90%,"$126,978,873 ",20.40%,109,Alice in Wonderland
2009,12,Mar 20-22,"$93,174,791 ",-1.60%,"$105,454,531 ",-7.40%,109,Knowing2009 Re-release
2008,12,Mar 21-24Easter wknd,"$107,553,652 ",-,"$125,354,528 ",-,59,Horton Hears a Who!
2008,12,Mar 21-23,"$94,656,916 ",-18.70%,"$113,866,325 ",-16.10%,118,Horton Hears a Who!
2019,13,Mar 29-31,"$129,484,146 ",12.40%,"$137,830,324 ",0.40%,120,Dumbo
2018,13,Mar 30-Apr 2Easter wknd,"$130,872,272 ",-,"$154,921,251 ",-,59,Ready Player One
2018,13,Mar 30-Apr 1,"$115,250,516 ",-28.70%,"$137,246,461 ",-19.10%,112,Ready Player One
2017,13,Mar 31-Apr 2,"$161,650,523 ",-33.60%,"$169,546,152 ",-32.80%,100,The Boss Baby
2016,13,Mar 25-27,"$243,491,430 ",74%,"$252,300,615 ",67.80%,104,Batman v Superman: Dawn of Justice
2016,13,Mar 25-28Easter wknd,"$270,066,590 ",-,"$278,486,400 ",-,54,Batman v Superman: Dawn of Justice
2015,13,Mar 27-29,"$139,905,374 ",12.20%,"$150,316,547 ",6.80%,98,Home
2014,13,Mar 28-30,"$124,746,109 ",-9.30%,"$140,733,798 ",-4.40%,107,Noah
2013,13,Mar 29-Apr 1Easter wknd,"$155,717,819 ",-,"$164,811,685 ",-,53,G.I. Joe: Retaliation
2013,13,Mar 29-31,"$137,577,314 ",-0.90%,"$147,258,977 ",-1.10%,120,G.I. Joe: Retaliation
2012,13,Mar 30-Apr 1,"$138,772,071 ",26%,"$148,926,320 ",19.20%,124,The Hunger Games
2011,13,Apr 1-3,"$110,113,006 ",-2.60%,"$124,938,387 ",-2.90%,125,Hop
2010,13,Mar 26-28,"$113,036,610 ",-17.20%,"$128,664,080 ",-12.10%,112,How to Train Your Dragon
2009,13,Mar 27-29,"$136,575,156 ",59.70%,"$146,427,563 ",36.90%,106,Monsters vs. Aliens
2008,13,Mar 28-30,"$85,512,670 ",-24.40%,"$106,960,934 ",-16%,123,21
2019,14,Apr 5-7,"$137,908,217 ",-2.10%,"$146,937,939 ",-10.50%,117,Shazam!
2018,14,Apr 6-8,"$140,865,614 ",32.50%,"$164,133,343 ",36.70%,116,A Quiet Place
2017,14,Apr 7-9,"$106,287,914 ",-10.40%,"$120,077,853 ",-8.30%,103,The Boss Baby
2016,14,Apr 1-3,"$118,559,272 ",-45.30%,"$130,889,005 ",-41.70%,114,Batman v Superman: Dawn of Justice
2015,14,Apr 3-5,"$216,669,859 ",39.10%,"$224,366,628 ",34.20%,96,Furious 7
2015,14,Apr 3-6Easter wknd,"$240,859,409 ",-,"$247,143,426 ",-,45,Furious 7
2014,14,Apr 4-6,"$155,800,774 ",24.80%,"$167,195,578 ",24.10%,115,Captain America: The Winter Soldier
2013,14,Apr 5-7,"$124,827,157 ",8.10%,"$134,763,712 ",8.90%,127,Evil Dead
2012,14,Apr 6-8,"$115,439,622 ",17.30%,"$123,764,607 ",6.60%,123,The Hunger Games
2012,14,Apr 6-9Easter wknd,"$129,893,927 ",-,"$136,124,614 ",-,45,The Hunger Games
2011,14,Apr 8-10,"$98,389,397 ",-40.80%,"$116,090,490 ",-34.60%,125,Hop
2010,14,Apr 2-5Easter wknd,"$187,711,319 ",-,"$198,446,177 ",-,44,Clash of the Titans
2010,14,Apr 2-4,"$166,220,519 ",13.80%,"$177,632,872 ",14.40%,112,Clash of the Titans
2009,14,Apr 3-5,"$146,086,888 ",91.70%,"$155,220,674 ",62%,109,Fast & Furious
2008,14,Apr 4-6,"$76,219,857 ",-27.20%,"$95,797,267 ",-22.90%,129,21
2019,15,Apr 12-14,"$100,437,182 ",-23.80%,"$111,173,940 ",-26%,119,Shazam!
2018,15,Apr 13-15,"$131,792,250 ",-15.40%,"$150,160,537 ",-10.90%,117,Rampage
2017,15,Apr 14-17Easter wknd,"$173,236,946 ",-,"$186,508,700 ",-,50,The Fate of the Furious
2017,15,Apr 14-16,"$155,863,273 ",71%,"$168,607,242 ",60.20%,104,The Fate of the Furious
2016,15,Apr 8-10,"$91,145,188 ",-26.20%,"$105,246,691 ",-20%,119,The Boss
2015,15,Apr 10-12,"$123,487,605 ",-5.80%,"$131,496,504 ",-6.10%,103,Furious 7
2014,15,Apr 11-13,"$131,084,472 ",25.50%,"$140,035,789 ",20%,109,Captain America: The Winter Soldier
2013,15,Apr 12-14,"$104,482,953 ",-0.40%,"$116,712,085 ",1.70%,122,42
2012,15,Apr 13-15,"$104,850,744 ",-5.20%,"$114,756,312 ",-11.80%,115,The Hunger Games
2011,15,Apr 15-17,"$110,573,140 ",-6%,"$130,061,017 ",1.90%,116,Rio
2010,15,Apr 9-11,"$117,570,469 ",-3.70%,"$127,582,200 ",-4.50%,115,Clash of the Titans
2009,15,Apr 10-13Easter wknd,"$137,209,381 ",-,"$148,228,465 ",-,49,Hannah Montana: The Movie
2009,15,Apr 10-12,"$122,113,373 ",57%,"$133,634,913 ",40.40%,112,Hannah Montana: The Movie
2008,15,Apr 11-13,"$77,792,738 ",-15.20%,"$95,162,842 ",-19.90%,125,Prom Night
2019,16,Apr 19-22Easter wknd,"$106,099,675 ",-,"$121,560,823 ",-,74,The Curse of La Llorona
2019,16,Apr 19-21,"$95,280,443 ",-10.60%,"$109,193,341 ",-13.20%,122,The Curse of La Llorona
2018,16,Apr 20-22,"$106,600,851 ",17.20%,"$125,778,372 ",16.80%,121,A Quiet Place
2017,16,Apr 21-23,"$90,926,040 ",-44.90%,"$107,650,168 ",-39.10%,110,The Fate of the Furious
2016,16,Apr 15-17,"$165,029,225 ",51.90%,"$176,691,491 ",47.60%,118,The Jungle Book
2015,16,Apr 17-19,"$108,634,824 ",-6.60%,"$119,720,998 ",-10.30%,111,Furious 7
2014,16,Apr 18-21Easter wknd,"$128,566,271 ",-,"$144,538,498 ",-,52,Captain America: The Winter Soldier
2014,16,Apr 18-20,"$116,260,430 ",20.50%,"$133,412,005 ",20.50%,112,Captain America: The Winter Soldier
2013,16,Apr 19-21,"$96,489,683 ",-18.90%,"$110,719,635 ",-18.20%,120,Oblivion
2012,16,Apr 20-22,"$118,940,992 ",3.90%,"$135,415,449 ",-0.70%,125,Think Like a Man
2011,16,Apr 22-24,"$114,486,342 ",5.90%,"$136,378,142 ",13.50%,128,Rio
2011,16,Apr 22-25Easter wknd,"$126,821,991 ",-,"$149,092,004 ",-,51,Rio
2010,16,Apr 16-18,"$108,077,823 ",11%,"$120,177,056 ",10.80%,117,Kick-Ass
2009,16,Apr 17-19,"$97,370,546 ",22.20%,"$108,497,129 ",15.60%,119,17 Again
2008,16,Apr 18-20,"$79,673,117 ",15.30%,"$93,848,411 ",5.90%,134,The Forbidden Kingdom
2019,17,Apr 26-28,"$396,469,872 ",30.80%,"$402,087,399 ",28.10%,114,Avengers: Endgame
2018,17,Apr 27-29,"$303,012,371 ",275%,"$313,937,789 ",214.60%,125,Avengers: Infinity War
2017,17,Apr 28-30,"$80,793,191 ",-31.30%,"$99,778,230 ",-22.20%,112,The Fate of the Furious
2016,17,Apr 22-24,"$117,626,464 ",46.80%,"$128,304,144 ",31.70%,115,The Jungle Book
2015,17,Apr 24-26,"$80,145,066 ",-17.80%,"$97,392,898 ",-16.60%,117,Furious 7
2014,17,Apr 25-27,"$97,473,803 ",24.80%,"$116,798,742 ",26.50%,114,The Other Woman
2013,17,Apr 26-28,"$78,125,503 ",-14.30%,"$92,351,407 ",-16.50%,120,Pain & Gain
2012,17,Apr 27-29,"$91,171,173 ",-35%,"$110,593,680 ",-30.40%,129,Think Like a Man
2011,17,Apr 29-May 1,"$140,262,298 ",63.50%,"$158,940,090 ",58.80%,120,Fast Five
2010,17,Apr 23-25,"$85,792,705 ",-14.50%,"$100,098,936 ",-12.10%,117,How to Train Your Dragon
2009,17,Apr 24-26,"$100,327,984 ",32%,"$113,860,937 ",24.80%,118,Obsessed
2008,17,Apr 25-27,"$76,023,855 ",33.10%,"$91,236,400 ",17.10%,145,Baby Mama
2019,18,May 3-5,"$193,910,218 ",22%,"$199,858,498 ",17.90%,113,Avengers: Endgame
2018,18,May 4-6,"$158,985,116 ",-13.80%,"$169,550,312 ",-13.10%,115,Avengers: Infinity War
2017,18,May 5-7,"$184,356,127 ",90.20%,"$195,098,085 ",79.60%,109,Guardians of the Galaxy Vol. 2
2016,18,Apr 29-May 1,"$96,937,478 ",-56.70%,"$108,604,032 ",-53.40%,114,The Jungle Book
2015,18,May 1-3,"$223,967,813 ",58.30%,"$232,873,431 ",51.10%,102,Avengers: Age of Ultron
2014,18,May 2-4,"$141,515,375 ",-32.10%,"$154,089,137 ",-29.10%,117,The Amazing Spider-Man 2
2013,18,May 3-5,"$208,434,380 ",-15.50%,"$217,475,021 ",-15.80%,119,Iron Man 3
2012,18,May 4-6,"$246,662,936 ",61.60%,"$258,295,713 ",54.90%,134,The Avengers
2011,18,May 6-8,"$152,646,352 ",73.60%,"$166,748,986 ",63.10%,128,Thor
2010,18,Apr 30-May 2,"$87,924,993 ",-40%,"$102,227,580 ",-35.40%,116,A Nightmare on Elm Street
2009,18,May 1-3,"$146,572,798 ",-1.30%,"$158,300,469 ",-0.40%,109,X-Men Origins: Wolverine
2008,18,May 2-4,"$148,431,129 ",-16.60%,"$159,000,645 ",-16.10%,135,Iron Man
2019,19,May 10-12,"$160,271,263 ",26.50%,"$168,253,370 ",21%,113,Avengers: Endgame
