Name,STARmeter,Episodes,Known for
Wendy Padbury Zoe / Zoe Heriot  Zoe / Zoe Heriot  See fewer,Members only,49,The Blood on Satan's Claw (1971)
Terry Walsh Castle Guard Barclay / Guard / Guard Captain / UNIT Soldier / Crew Member / …  See more  Castle Guard Barclay / Guard / Guard Captain / UNIT Soldier / Crew Member / Auton Policeman / Doran / Mensch / Solos Guard / Thal Soldier / Burning Exxilon / Executioner / IMC Guard Rogers / Jack / Kaled Scientist / Man with Boat / Militiaman / Muto / Overlord Guard / S.R.S. Meeting Security / Security Guard / Skybase Guard / Soldier / Stangmoor Man / Thal Guard / UNIT Motorcyclist / Warehouse Looter / Window Cleaner / Wirrn Operator / Zake / Zombie  See fewer,Members only,49,Willow (1988)
Sarah Sutton Nyssa / Ann Talbot  Nyssa / Ann Talbot  See fewer,Members only,48,Doctor Who: Dimensions in Time (1993)
Lalla Ward Romana / Princess Astra  Romana / Princess Astra  See fewer,Members only,46,Doctor Who: Shada (1992)
Peter Purves Steven Taylor / Steven / Morton Dill  Steven Taylor / Steven / Morton Dill  See fewer,Members only,46,Girl in a Black Bikini (1967)
Matthew Waterhouse Adric  Adric  See fewer,Members only,44,To Serve Them All My Days (1980)
Sylvester McCoy The Doctor  The Doctor  See fewer,Members only,42,The Hobbit: The Desolation of Smaug (2013)
Richard Franklin Captain Mike Yates / Captain Yates / Mike Yates  Captain Mike Yates / Captain Yates / Mike Yates  See fewer,Members only,42,Rogue One: A Star Wars Story (2016)
Louise Jameson Leela  Leela  See fewer,Members only,40,Bergerac (1981)
Deborah Watling Victoria / Victoria Waterfield  Victoria / Victoria Waterfield  See fewer,Members only,40,The Invisible Man (1958)
Derek Chafer Guard / Gracht Guard / Leviathan Guard / Cyberman / Exxilon / …  See more  Guard / Gracht Guard / Leviathan Guard / Cyberman / Exxilon / Greek Soldier / Extra / Lynch Mob Member / Primitive / Argolin / Armourer / Gundan / Military Policeman / Pangol Image / Prisoner / Saxon / Saxon warrior / Skonnon Elder / Solonian Warrior / Technician / UNIT Soldier  See fewer,Members only,40,Softly Softly (1966)
Maureen O'Brien Vicki  Vicki  See fewer,Members only,38,The Lost Boys (1978)
Roger Delgado The Master / Master  The Master / Master  See fewer,Members only,37,The Running Man (1963)
Michael Craze Ben  Ben  See fewer,Members only,37,Journey to the Unknown (1968)
Kevin Manser Dalek / Dalek Machine Operator / Zarbi / Dalek Operator / Zarbi Operator  Dalek / Dalek Machine Operator / Zarbi / Dalek Operator / Zarbi Operator  See fewer,Members only,37,Dr. Who and the Daleks (1965)
Cy Town Dalek Operator / Extra / Medical Orderly / 2Nd Brother / Brother / …  See more  Dalek Operator / Extra / Medical Orderly / 2Nd Brother / Brother / Dalek / Guard / Haemovore / Harold V.'s Brother / Passerby / Technician / Vogan  See fewer,Members only,37,Moonbase 3 (1973)
Anneke Wills Polly  Polly  See fewer,Members only,36,The Avengers (1961)
Michael Wisher Dalek Voices / Davros / Kalik / Magrik / Rex Farrel / …  See more  Dalek Voices / Davros / Kalik / Magrik / Rex Farrel / John Wakefield / Morelli / Dalek Voice / Ranjit  See fewer,Members only,36,Alice in Wonderland (1986)
Colin Baker The Doctor / Commander Maxil  The Doctor / Commander Maxil  See fewer,Members only,35,Doctor Who: Dimensions in Time (1993)
David Graham Daleks / Dalek Voices / Charlie / Kerensky / Mechanoid / Mechonoid  Daleks / Dalek Voices / Charlie / Kerensky / Mechanoid / Mechonoid  See fewer,Members only,35,Supercar (1961)
Nicola Bryant Peri  Peri  See fewer,Members only,33,Doctor Who: Dimensions in Time (1993)
Stuart Fell Body of Alpha Centauri / Alpha Centauri / Guard / Sontaran / Monster / …  See more  Body of Alpha Centauri / Alpha Centauri / Guard / Sontaran / Monster / Tesh Guard / UNIT Soldier / Wirrn Operator / Double for Styre / Entertainer / Field Guard / Forking peasant / Functionary / Kraal / Roga / Sea Devil / Tramp / Wirrn Larvae  See fewer,Members only,33,Aliens (1986)
Mark Strickson Turlough  Turlough  See fewer,Members only,32,A Christmas Carol (1984)
Sophie Aldred Ace  Ace  See fewer,Members only,31,Doctor Who: Dimensions in Time (1993)
Ian Marter Harry Sullivan / John Andrews  Harry Sullivan / John Andrews  See fewer,Members only,31,Doctor Faustus (1967)
Anthony Ainley The Master / Tremas / Portreeve / Kalid / Sir Gilles Estram  The Master / Tremas / Portreeve / Kalid / Sir Gilles Estram  See fewer,Members only,31,Nicholas Nickleby (1977)
Murphy Grumbar Dalek / Dalek Operator / Dalek Machine Operator / Arcturus / Mechanoid / Mechonoid  Dalek / Dalek Operator / Dalek Machine Operator / Arcturus / Mechanoid / Mechonoid  See fewer,Members only,30,Sporting Scenes (1973)
Mike Mungarvan Dalek Operator / Outcast Time Lord / 1st Kinda Hostage / Lakertyan / Soldier / …  See more  Dalek Operator / Outcast Time Lord / 1st Kinda Hostage / Lakertyan / Soldier / Arglin / Citizen / Druid / Duty Officer / Extra / Genius / Gracht Guard / Guard / Jacondan / Kilroy / Mutt / Outsider / Pangol Image / Plain Clothes Detective in Louvre / Poilceman / Ranulf's Knight / Tetrap / comet site PC  See fewer,Members only,30,Charlie (2004)
Mary Tamm Romana / Princess Strella / Android Romana  Romana / Princess Strella / Android Romana  See fewer,Members only,26,Doghouse (2009)
Caroline John Liz Shaw / Section Leader Elizabeth Shaw  Liz Shaw / Section Leader Elizabeth Shaw  See fewer,Members only,26,Love Actually (2003)
Peter Halliday Packer / Pletrac / Silurians / Soldier / 2nd Jagaroth / …  See more  Packer / Pletrac / Silurians / Soldier / 2nd Jagaroth / Alien's Voice / Aliens' Voices / Silurian / Vicar  See fewer,Members only,23,The Remains of the Day (1993)
Kevin Stoney Mavic Chen / Tobias Vaughn / Tyrum  Mavic Chen / Tobias Vaughn / Tyrum  See fewer,Members only,22,Cash on Demand (1962)
Bonnie Langford Melanie  Melanie  See fewer,Members only,20,EastEnders (1985)
Dave Carter Prison Officer / Grierson / Old Silurian / Primord / Ambulance Man / …  See more  Prison Officer / Grierson / Old Silurian / Primord / Ambulance Man / Guard On Skybase / I E Guard / IE guard / Male Rebel / Museum Attendant / Roundhead Officer / Sergeant Duffy / Silurian  See fewer,Members only,20,No. 1 of the Secret Service (1977)
Jackie Lane Dodo / Dodo Chaplet  Dodo / Dodo Chaplet  See fewer,Members only,19,The Caucasian Chalk Circle (1962)
Bernard Kay Carl Tyler / Caldwell / Inspector Crossland / Saladin  Carl Tyler / Caldwell / Inspector Crossland / Saladin  See fewer,Members only,19,Doctor Zhivago (1965)
Tony Harwood Ice Warrior / Yeti / Ice Warrior Rintan / Cyberman / Flynn  Ice Warrior / Yeti / Ice Warrior Rintan / Cyberman / Flynn  See fewer,Members only,19,Billion Dollar Brain (1967)
Max Faulkner Nesbin / Cpl. Adams / Rebel / UNIT Soldier / Corporal Adams / …  See more  Nesbin / Cpl. Adams / Rebel / UNIT Soldier / Corporal Adams / Crew Member / Exxilon / Guard / Miner / Second Guard Captain / Thal Guard / Tribesman  See fewer,Members only,19,Willow (1988)
Nick Hobbs Aggedor / U.N.I.T. Soldier / Guard / American Aide / Auton / …  See more  Aggedor / U.N.I.T. Soldier / Guard / American Aide / Auton / Daffodil Man / Nuton Driver / RSF Sentry / Technician / Wirrn Operator  See fewer,Members only,19,Wonder Woman (2017)
Keith Ashley Dalek Operator / Technician / Zygon / Brother / Extra / …  See more  Dalek Operator / Technician / Zygon / Brother / Extra / Firing Squad Member / Sir Colin's Aide / Villager  See fewer,Members only,19,Softly Softly (1966)
Sonny Caldinez Kemel / Sskel / Ssorg / Ice Warrior / Ice Warrior Turoc  Kemel / Sskel / Ssorg / Ice Warrior / Ice Warrior Turoc  See fewer,Members only,18,Raiders of the Lost Ark (1981)
Barney Lawrence Marshman / 2nd Kinda Hostage / Seabase Guard / Android / Sailor on the Shadow / …  See more  Marshman / 2nd Kinda Hostage / Seabase Guard / Android / Sailor on the Shadow / Dave Culshaw / Foster / Guard / Royal Servant  See fewer,Members only,18,The Bullet Machine (1970)
Peter Miles Dr. Lawrence / Nyder / Professor Whitaker  Dr. Lawrence / Nyder / Professor Whitaker  See fewer,Members only,17,Blake's 7 (1978)
Michael Sheard Dr. Summers / Lowe / Laurence Scarman / Headmaster / Mergrave / Rhos  Dr. Summers / Lowe / Laurence Scarman / Headmaster / Mergrave / Rhos  See fewer,Members only,17,Star Wars: Episode V - The Empire Strikes Back (1980)
John Abineri General Carrington / Ranquin / Van Lutyens / Carrington / Richard Railton  General Carrington / Ranquin / Van Lutyens / Carrington / Richard Railton  See fewer,Members only,17,Robin Hood (1984)
Graham Leaman Price / Time Lord / Controller / Grand Marshall  Price / Time Lord / Controller / Grand Marshall  See fewer,Members only,17,Man of Straw (1972)
Leslie Bates Exxilon / Shadow / 1862 Confederate Soldier / 1862 Soldier / 2nd Guard / …  See more  Exxilon / Shadow / 1862 Confederate Soldier / 1862 Soldier / 2nd Guard / BBC3 TV Crewmember / Draconian / Extra / Lunar Guard / Man at Lop / Mongol Bandit / Mongol Warrior / Pirate / Tribesman / Villager at Inn  See fewer,Members only,17,The Caucasian Chalk Circle (1962)
Gordon Stothard Yeti / Cyberman / Grun / Prison Officer / Man Carrying Caskets  Yeti / Cyberman / Grun / Prison Officer / Man Carrying Caskets  See fewer,Members only,16,Paul Temple (1969)
John Caesar Cowboy / Guard / Pirate / 2nd Man in Market / C.P.O. Myers / …  See more  Cowboy / Guard / Pirate / 2nd Man in Market / C.P.O. Myers / Egyptian Warrior / Monoid Four / Pirate Guard / R / T Soldier  See fewer,Members only,16,Germinal (1970)
John Cannon Trog / Guard / Miner / Striker's Helmsman / Technician / …  See more  Trog / Guard / Miner / Striker's Helmsman / Technician / Elgin / Extra / Passer by / Sir Ranulf Fitzwilliam's 1st Servant / Technican  See fewer,Members only,16,Beau Geste (1982)
Bernard Horsfall Taron / Chancellor Goth / Gulliver / A Stranger / First Time Lord  Taron / Chancellor Goth / Gulliver / A Stranger / First Time Lord  See fewer,Members only,15,Braveheart (1995)
Jean Marsh Sara Kingdom / Morgaine / Joanna  Sara Kingdom / Morgaine / Joanna  See fewer,Members only,15,Willow (1988)
Philip Madoc Fenner / Solon / War Lord / Eelek  Fenner / Solon / War Lord / Eelek  See fewer,Members only,15,The Avengers (1961)
Milton Johns Kelner / Benik / Guy Crayford  Kelner / Benik / Guy Crayford  See fewer,Members only,15,Star Wars: Episode V - The Empire Strikes Back (1980)
Alan Rowe Edward of Wessex / Garif / Dr. Evans / Skinsale / Space Control  Edward of Wessex / Garif / Dr. Evans / Skinsale / Space Control  See fewer,Members only,15,An Age of Kings (1960)
Walter Randall El Akir / Guard Captain / Tonila / Harry Slocum / Hyksos / Patrolman  El Akir / Guard Captain / Tonila / Harry Slocum / Hyksos / Patrolman  See fewer,Members only,15,Five to One (1963)
Ysanne Churchman Alpha Centauri / Spider  Alpha Centauri / Spider  See fewer,Members only,15,Othello (1956)
Steve Peters Ice Warrior / Astronaut / Pirate Guard / Extra / Lefee  Ice Warrior / Astronaut / Pirate Guard / Extra / Lefee  See fewer,Members only,15,Softly Softly (1966)
Norman Jones Khrisong / Major Baker / Hieronymous  Khrisong / Major Baker / Hieronymous  See fewer,Members only,15,You Only Live Twice (1967)
Derek Ware Private Wyatt / Spaniard / Tuthmos / Bus Conductor / Pigbin Josh / …  See more  Private Wyatt / Spaniard / Tuthmos / Bus Conductor / Pigbin Josh / Saracen Warrior / Soldier / Trojan Soldier / UNIT Sergeant / UNIT Soldier  See fewer,Members only,15,Robin Hood: Prince of Thieves (1991)
Reg Whitehead Yeti / Cyberman / Jarl / Krail  Yeti / Cyberman / Jarl / Krail  See fewer,Members only,15,The Avengers (1961)
Derek Martin UNIT Soldier / David Mitchell / Prisoner / Soldier / Thug / …  See more  UNIT Soldier / David Mitchell / Prisoner / Soldier / Thug / Extra / Parisian in Rue des Fosses St. Germain / Ship's Crew / Soldier Killed by Auton  See fewer,Members only,15,The Governor (1995)
Harry Fielder Guard / Central European Guard / Wheel Crewmember / Field Guard / Levithian Guard / …  See more  Guard / Central European Guard / Wheel Crewmember / Field Guard / Levithian Guard / Second Assassin / Security Guard / Tigellan / Titan Base Crewman / Vogan  See fewer,Members only,15,Freelance (1971)
Alan Chuntz Guard / Prisoner / Chauffeur / Elite Guard / Field Guard / …  See more  Guard / Prisoner / Chauffeur / Elite Guard / Field Guard / Harvey / Kaled Soldier in Ravon's HQ / Mercenary / Omega's Champion / Security Guard / Technician / Thug / UNIT Soldier  See fewer,Members only,15,Spies Like Us (1985)
Michael Jayston The Valeyard  The Valeyard  See fewer,Members only,14,Nicholas and Alexandra (1971)
Lynda Bellingham The Inquisitor  The Inquisitor  See fewer,Members only,14,The Romanovs: An Imperial Family (2000)
Prentis Hancock Vaber / Captain / Salamar / 2nd Reporter  Vaber / Captain / Salamar / 2nd Reporter  See fewer,Members only,14,Spy Trap (1972)
Chris Tranchell Andred / Jenkins / Roger Colbert  Andred / Jenkins / Roger Colbert  See fewer,Members only,14,The Spanish Farm (1968)
Peter Diamond Delos / Sailor / Morok Guard / Alien Guard / Confederate Horseman / …  See more  Delos / Sailor / Morok Guard / Alien Guard / Confederate Horseman / Davis / Dr. Who / Extra / Morok Technician / Salamander  See fewer,Members only,14,Star Wars: Episode IV - A New Hope (1977)
Roy Pearce Solos Guard / Exxilon / Villager / Brother / Chameleon / …  See more  Solos Guard / Exxilon / Villager / Brother / Chameleon / Courtier / Cyberman / Engineer #2 / Guard / Soldier in Snow Camouflage  See fewer,Members only,14,W. Somerset Maugham (1969)
John Ringham Ashe / Tlotoxl / Josiah Blake  Ashe / Tlotoxl / Josiah Blake  See fewer,Members only,13,V for Vendetta (2005)
Valentine Dyall Black Guardian / The Guardian  Black Guardian / The Guardian  See fewer,Members only,13,The Haunting (1963)
Wanda Ventham Jean Rock / Thea Ransome / Faroon  Jean Rock / Thea Ransome / Faroon  See fewer,Members only,13,UFO (1970)
Alan Bennion Slaar / Izlyr / Azaxyr  Slaar / Izlyr / Azaxyr  See fewer,Members only,13,The Expert (1968)
Terence Lodge Moss / Orum / Medok  Moss / Orum / Medok  See fewer,Members only,13,An Age of Kings (1960)
Colin Thomas Elder / Mentiad / Foster / Pallbearer / Sole / …  See more  Elder / Mentiad / Foster / Pallbearer / Sole / Station Policeman / Time Lord / UNIT Soldier  See fewer,Members only,13,For Queen & Country (1988)
Christopher Benjamin Jago / Sir Keith Gold  Jago / Sir Keith Gold  See fewer,Members only,12,The Plague Dogs (1982)
Ronald Allen Ralph Cornish / Rago  Ralph Cornish / Rago  See fewer,Members only,12,A Night to Remember (1958)
Donald Gee Eckersley / Major Ian Warne  Eckersley / Major Ian Warne  See fewer,Members only,12,1990 (1977)
Rex Robinson Gebek / Dr. Tyler / Dr. Carter  Gebek / Dr. Tyler / Dr. Carter  See fewer,Members only,12,Superman IV: The Quest for Peace (1987)
Donald Pickering Captain Blade / Beyus / Eyesen  Captain Blade / Beyus / Eyesen  See fewer,Members only,12,A Bridge Too Far (1977)
David Savile Carstairs / Lieut. Carstairs / Winser / Colonel Crichton / Lieutenant Carstairs  Carstairs / Lieut. Carstairs / Winser / Colonel Crichton / Lieutenant Carstairs  See fewer,Members only,12,Warship (1973)
Ric Felgate Brent / Van Lyden / Astronaut / Alien / Roy Stone - American Journalist  Brent / Van Lyden / Astronaut / Alien / Roy Stone - American Journalist  See fewer,Members only,12,Softly Softly (1966)
David Brierly K9  K9  See fewer,Members only,12,Sex Through the Ages (1974)
Jack Pitt Zarbi / Mire Beast / Zarbi Operator / Cabin Steward / Dalek / …  See more  Zarbi / Mire Beast / Zarbi Operator / Cabin Steward / Dalek / Gearon / Mechanoid / Mechonoid  See fewer,Members only,12,ITV Play of the Week (1955)
Dave Anderson Aztec Captain / Sven / Caravan Warrior / Egyptian Warrior / Palace Guard / Reynier de Marun  Aztec Captain / Sven / Caravan Warrior / Egyptian Warrior / Palace Guard / Reynier de Marun  See fewer,Members only,12,The Avengers (1961)
Jack Watling Professor Travers / Travers  Professor Travers / Travers  See fewer,Members only,12,A Night to Remember (1958)
Ken Tyllssen Dalek Machine Operator / First Scientist / 1st Sensorite / Dalek / First Sensorite / …  See more  Dalek Machine Operator / First Scientist / 1st Sensorite / Dalek / First Sensorite / Mechanoid / Mechonoid  See fewer,Members only,12,The Airbase (1965)
John Bennett General Finch / Li H'sen Chang  General Finch / Li H'sen Chang  See fewer,Members only,11,Watership Down (1978)
Frederick Jaeger Jano / Sorenson / Professor Marius  Jano / Sorenson / Professor Marius  See fewer,Members only,11,The Avengers (1961)
George Pravda Jaeger / Castellan Spandrell / Denes  Jaeger / Castellan Spandrell / Denes  See fewer,Members only,11,Thunderball (1965)
Kevin Lindsay Cho-je / Linx / Styre / The Marshal  Cho-je / Linx / Styre / The Marshal  See fewer,Members only,11,War & Peace (1972)
David Collings Poul / Vorus / Mawdryn  Poul / Vorus / Mawdryn  See fewer,Members only,11,Scrooge (1970)
James Bree Security Chief / Nefred / Keeper of the Matrix  Security Chief / Nefred / Keeper of the Matrix  See fewer,Members only,11,On Her Majesty's Secret Service (1969)
John Dearth Lupton / Boss's Voice  Lupton / Boss's Voice  See fewer,Members only,11,The Avengers (1961)
Clare Jenkins Tanya Lernov / Nanina / Tanya  Tanya Lernov / Nanina / Tanya  See fewer,Members only,11,Ivanhoe (1970)
Sheila Dunn Petra Williams / Dr. Petra Williams / Blossom Lefavre / Computer Voice / Phone Operator / Telephone Operator  Petra Williams / Dr. Petra Williams / Blossom Lefavre / Computer Voice / Phone Operator / Telephone Operator  See fewer,Members only,11,R3 (1964)
Christopher Burgess Barnes / Swann / Professor Philips  Barnes / Swann / Professor Philips  See fewer,Members only,11,North & South (1975)
Michael Kilgarriff Robot / Cyberman Controller / Cyber Controller / Second Ogron  Robot / Cyberman Controller / Cyber Controller / Second Ogron  See fewer,Members only,11,The Dark Crystal (1982)
Ian Fairbairn Bromley / Gregory / Doctor Chester / Questa  Bromley / Gregory / Doctor Chester / Questa  See fewer,Members only,11,The Big Spender (1965)
Robert James Lesterson / High Priest / Man  Lesterson / High Priest / Man  See fewer,Members only,11,Blake's 7 (1978)
June Murphy 3rd Officer Jane Blythe / Maggie Harris  3rd Officer Jane Blythe / Maggie Harris  See fewer,Members only,11,The Avengers (1961)
Hubert Rees Chief Engineer / Captain Ransom / John Stevenson  Chief Engineer / Captain Ransom / John Stevenson  See fewer,Members only,11,The Baker Street Boys (1983)
Neville Simons Space Corps Technician / Astronaut / Alien Student / German / Michaels / Roman Soldiers  Space Corps Technician / Astronaut / Alien Student / German / Michaels / Roman Soldiers  See fewer,Members only,11,The Tyrant King (1968)
Bill Burridge Quill / Coven Member / Draconian / Extra / Priest / Villager  Quill / Coven Member / Draconian / Extra / Priest / Villager  See fewer,Members only,11,First Night (1963)
Steve Emerson Guard / Retrograde / UNIT Soldier / Attacking rebel (1984) / Resistance Man  Guard / Retrograde / UNIT Soldier / Attacking rebel (1984) / Resistance Man  See fewer,Members only,11,Shaun of the Dead (2004)
Colin Douglas Donald Bruce / Reuben  Donald Bruce / Reuben  See fewer,Members only,10,The Children of the New Forest (1964)
Bernard Archard Bragen / Marcus Scarman  Bragen / Marcus Scarman  See fewer,Members only,10,Krull (1983)
Edwin Richfield Captain Hart / Mestor  Captain Hart / Mestor  See fewer,Members only,10,Interpol Calling (1959)
Paul Whitsun-Jones Marshal / Squire Edwards  Marshal / Squire Edwards  See fewer,Members only,10,The Quatermass Experiment (1953)
Ronald Leigh-Hunt Radnor / Commander Stevenson  Radnor / Commander Stevenson  See fewer,Members only,10,The Message (1976)
John Woodnutt Duke of Forgill / Hibbert / Seron / Draconian Emperor  Duke of Forgill / Hibbert / Seron / Draconian Emperor  See fewer,Members only,10,The Avengers (1961)
Derek Newark Greg Sutton / Za  Greg Sutton / Za  See fewer,Members only,10,The Blue Max (1966)
Martin Jarvis Butler / Hilio / Governor / Voice in Reminder Room  Butler / Hilio / Governor / Voice in Reminder Room  See fewer,Members only,10,Wreck-It Ralph (2012)
Tony Caunter Morgan / Jackson / Thatcher  Morgan / Jackson / Thatcher  See fewer,Members only,10,The Big Spender (1965)
Edward Brayshaw War Chief / Léon Colbert  War Chief / Léon Colbert  See fewer,Members only,10,The Further Adventures of the Musketeers (1967)
David Banks Cyber Leader  Cyber Leader  See fewer,Members only,10,EastEnders (1985)
Richard Beale Bat Masterson / Broadcaster / Refusian / Minister of Ecology / Propaganda Seller  Bat Masterson / Broadcaster / Refusian / Minister of Ecology / Propaganda Seller  See fewer,Members only,10,Madame Bovary (1964)
Dallas Cavell Quinlan / Captain Jebb Trask / Bors / Head of Security / Road Works Overseer  Quinlan / Captain Jebb Trask / Bors / Head of Security / Road Works Overseer  See fewer,Members only,10,The Avengers (1961)
Peter Whitaker Mentiad / Grecian Man / Thal Politician / Inspector Gascoigne / Onlooker / Weather Station Worker  Mentiad / Grecian Man / Thal Politician / Inspector Gascoigne / Onlooker / Weather Station Worker  See fewer,Members only,10,Rumpole of the Bailey (1978)
Valentino Musetti Prisoner / Egyptian Warrior / Extra / Audience Member / Egyptian Soldier / …  See more  Prisoner / Egyptian Warrior / Extra / Audience Member / Egyptian Soldier / Mongol Bandit / Saracen Warrior  See fewer,Members only,10,Robin Hood: Prince of Thieves (1991)
John Bailey Edward Waterfield / Commander / Sezom  Edward Waterfield / Commander / Sezom  See fewer,Members only,9,The Franchise Affair (1951)
Pamela Salem Rachel / Toos / Xoanon  Rachel / Toos / Xoanon  See fewer,Members only,9,Never Say Never Again (1983)
Tony Selby Glitz  Glitz  See fewer,Members only,9,Burnside (2000)
Christopher Coll Stubbs / Phipps  Stubbs / Phipps  See fewer,Members only,9,Warship (1973)
Cyril Shaps Archimandrite / Lennox / John Viner / Professor Clegg  Archimandrite / Lennox / John Viner / Professor Clegg  See fewer,Members only,9,The Spy Who Loved Me (1977)
Neil McCarthy Barnham / Thawn  Barnham / Thawn  See fewer,Members only,9,Where Eagles Dare (1968)
Ian Collier Stuart Hyde / Omega / The Renegade  Stuart Hyde / Omega / The Renegade  See fewer,Members only,9,Poirot (1989)
Ralph Watson Captain Knight / Ettis / Ben  Captain Knight / Ettis / Ben  See fewer,Members only,9,Second Verdict (1976)
Donald Sumpter Enrico Casali / Commander Ridgeway  Enrico Casali / Commander Ridgeway  See fewer,Members only,9,In the Heart of the Sea (2015)
Peter Bathurst Hensell / Chinn  Hensell / Chinn  See fewer,Members only,9,The Quatermass Experiment (1953)
Robert Sidaway Captain Turner / Avon / Captain Jimmy Turner  Captain Turner / Avon / Captain Jimmy Turner  See fewer,Members only,9,Cormans' Hollywood
Martyn Huntley Roboman / Warren Earp / First Human  Roboman / Warren Earp / First Human  See fewer,Members only,9,The Spanish Farm (1968)
James Mellor Sean Flannigan / Varan  Sean Flannigan / Varan  See fewer,Members only,9,The Six Wives of Henry VIII (1970)
Brian Miller Dugdale / Daleks / Dalek Voice / Dalek Voices  Dugdale / Daleks / Dalek Voice / Dalek Voices  See fewer,Members only,9,Brazil (1985)
William Marlowe Harry Mailer / Lester  Harry Mailer / Lester  See fewer,Members only,9,Wuthering Heights (1967)
Ralph Carrigan Cyberman / Robot / Cheerleader / Extra / Monoid Two  Cyberman / Robot / Cheerleader / Extra / Monoid Two  See fewer,Members only,9,The Body Stealers (1969)
